_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
deg,deg, , , ,mag,deg,deg,mas,mas/yr,mas/yr,mas,mag, ,deg,deg
--------------,--------------,------,-----------,-----------,-----,------------,------------,-------,--------,--------,------,------,-,------------,------------
001.6532665175,29.02150171,544,00 06 36.53,+29 01 19.0,6.07,001.65221045,29.02193518,72.98,379.94,-178.34,0.75,0.752, ,001.65326652,29.02150171
001.7086927520,-23.10753988,560,00 06 50.02,-23 06 26.7,6.19,001.70843563,-23.10742543,25.59,97.3,-47.09,0.75,0.386, ,001.70869275,-23.10753988
001.7220342236,-38.87766756,567,00 06 53.30,-38 52 39.7,6.91,001.72206966,-38.87768936,3.69,-11.35,8.97,0.8,1.123, ,001.72203422,-38.87766756
001.8261111296,-17.38698966,602,00 07 18.27,-17 23 13.3,6.2,001.82613856,-17.38703103,6.24,-10.77,17.02,0.85,0.133, ,001.82611113,-17.38698966
001.8965933959,31.66900064,619,00 07 35.18,+31 40 08.6,6.87,001.89656955,31.66904954,6.05,8.35,-20.12,0.77,1.124, ,001.89659340,31.66900064
001.9080096505,40.14795368,626,00 07 37.94,+40 08 52.8,6.73,001.90808924,40.14799609,10.14,-25.03,-17.45,0.73,0.951, ,001.90800965,40.14795368
001.9206639170,-65.93242753,631,00 07 40.92,-65 55 56.2,6.83,001.92048929,-65.93227482,7.84,29.3,-62.83,0.65,1.158, ,001.92066392,-65.93242753
001.9338048608,-2.548679477,635,00 07 44.10,-02 32 55.3,6.43,001.93373158,-2.54868621,6.69,30.12,2.77,0.92,-0.146, ,001.93380486,-2.54867948
001.9454163715,-22.50855978,636,00 07 46.86,-22 30 30.5,5.93,001.94523194,-22.50847542,12.45,70.1,-34.71,0.74,0.141, ,001.94541637,-22.50855978
002.0145307029,-33.52932605,655,00 08 03.52,-33 31 45.6,5.67,002.01465535,-33.52933371,10.02,-42.75,3.15,0.71,1.119, ,002.01453070,-33.52932605
002.0504006176,-2.447710787,664,00 08 12.09,-02 26 51.7,6.18,002.05038298,-2.44769895,3.25,7.25,-4.87,0.96,1.366, ,002.05040062,-2.44771079
002.0730522215,-8.824112108,671,00 08 17.55,-08 49 26.5,5.99,002.07313617,-8.82402541,9.79,-34.13,-35.67,0.92,1.034, ,002.07305222,-8.82411211
002.0969107134,29.09043199,677,00 08 23.17,+29 05 27.0,2.07,002.09653333,29.09082805,33.6,135.68,-162.95,0.73,-0.038,P,002.09691071,29.09043199
002.1368990184,63.20404041,695,00 08 32.87,+63 12 14.6,6.41,002.13694986,63.20404897,2.17,-9.43,-3.52,0.63,0.998, ,002.13689902,63.20404041
002.1395703101,-17.57815508,696,00 08 33.49,-17 34 40.9,6.11,002.13953227,-17.57804019,2.42,14.92,-47.27,0.79,1.664,P,002.13957031,-17.57815508
002.1705756993,36.62712509,699,00 08 41.02,+36 37 38.7,6.21,002.17092314,36.62742794,30.26,-114.72,-124.6,0.69,0.504, ,002.17057570,36.62712509
002.2083489606,40.49454927,714,00 08 50.00,+40 29 40.4,6.82,002.20832630,40.49456869,3.19,7.09,-7.99,0.76,1.568, ,002.20834896,40.49454927
002.2172355557,25.46298481,716,00 08 52.07,+25 27 46.3,6.24,002.21695394,25.46285169,7.78,104.61,54.77,0.81,0.976, ,002.21723556,25.46298481
002.2506713889,28.24754279,728,00 09 00.16,+28 14 51.2,6.47,002.25065511,28.24755645,8.65,5.9,-5.62,0.94,0.242, ,002.25067139,28.24754279
002.2601029019,18.21196314,729,00 09 02.34,+18 12 43.3,5.57,002.25974230,18.21202529,11.17,140.93,-25.57,0.72,1.043, ,002.26010290,18.21196314
002.2599739747,-54.00193122,730,00 09 02.35,-54 00 07.1,6.32,002.25978189,-54.00196301,7,46.45,13.08,0.74,0.738, ,002.25997397,-54.00193122
002.2653089016,40.84285922,737,00 09 03.58,+40 50 35.8,6.93,002.26490408,40.84327725,16.09,126,-171.99,0.75,0.8, ,002.26530890,40.84285922
002.2945211312,59.1497796,746,00 09 10.09,+59 09 00.8,2.28,002.29204036,59.15021814,59.89,523.39,-180.42,0.56,0.38,P,002.29452113,59.1497796
002.3340654954,79.71454544,760,00 09 19.83,+79 42 52.7,6.01,002.33262025,79.71464113,8.56,106.17,-39.37,1.17,0.203, ,002.33406550,79.71454544
002.3377859465,-27.98792818,761,00 09 21.02,-27 59 16.5,5.42,002.33758620,-27.9879039,14.57,72.57,-9.99,1.34,0.414, ,002.33778595,-27.98792818
002.3526749453,-45.74742618,765,00 09 24.54,-45 44 49.2,3.88,002.35224949,-45.74698836,23.28,122.15,-180.13,0.98,1.013, ,002.35267495,-45.74742618
002.4671558328,-62.29679433,798,00 09 52.10,-62 17 48.6,6.34,002.46706528,-62.29683686,7.37,17.32,17.5,0.57,0.164, ,002.46715583,-62.29679433
002.4792523431,-2.561265985,803,00 09 55.02,-02 33 40.4,6.84,002.47924356,-2.5612296,2.68,3.61,-14.97,1.06,1.611, ,002.47925234,-2.56126599
002.5091761696,11.14581307,813,00 10 02.18,+11 08 44.9,5.54,002.50910252,11.14580908,10.04,29.73,1.64,0.86,-0.064, ,002.50917617,11.14581307
002.5090652448,-82.22404699,814,00 10 02.27,-82 13 26.4,5.29,002.50945435,-82.22399743,13.45,-21.66,-20.39,0.5,1.049, ,002.50906524,-82.22404699
002.5334040601,-78.30071698,829,00 10 07.99,-78 18 02.4,6.97,002.53330673,-78.3006603,3.21,8.12,-23.32,0.6,1.377, ,002.53340406,-78.30071698
002.5786240588,-5.24858764,840,00 10 18.85,-05 14 54.7,5.84,002.57853868,-5.24851713,18.18,34.98,-29.01,0.92,0.973, ,002.57862406,-5.24858764
002.5801909808,46.07227168,841,00 10 19.24,+46 04 20.2,5.01,002.58017518,46.07227117,3.24,4.51,0.21,0.68,0.405, ,002.58019098,46.07227168
002.6236703712,57.16549458,857,00 10 29.66,+57 09 55.8,6.74,002.62358027,57.16549747,6.52,20.1,-1.19,0.73,-0.074, ,002.62367037,57.16549458
002.6349951310,33.13088444,858,00 10 32.42,+33 07 51.2,6.83,002.63506952,33.1308857,4.74,-25.63,-0.52,0.76,1.429, ,002.63499513,33.13088444
